account_id,application_date,product_code,loan_amount,term_months,interest_rate,instalment,customer_age,employment_status,monthly_income,months_at_address,months_since_last_enquiry,province,income_verified
A100000,2024-12-16,PL,66583,12,0.1578,6424,21,1,18513,21,2,Rayong,Y
A100001,2023-05-31,CC,71469,0,0.1581,0,25,9,62367,53,0,Udon Thani,
A100002,2022-07-01,CC,26906,0,0.1555,0,48,1,28606,67,6,Songkhla,
A100003,2024-11-01,PL,158517,48,0.2016,5965,34,3,23611,67,15,Chiang Mai,Y
A100004,2022-09-28,HP,266360,60,0.199,8856,20,1,39314,87,18,Chonburi,
A100005,2023-11-29,HP,297471,72,0.09,6362,36,1,17826,39,17,Nonthaburi,
A100006,2023-06-17,HP,168672,72,0.2032,5198,20,1,31509,73,5,Phuket,
A100007,2022-11-19,HP,284276,60,0.2757,11269,33,2,25019,59,5,Khon Kaen,
A100008,2022-11-20,PL,156131,36,0.1864,6762,42,2,,71,3,Chonburi,
A100009,2025-05-03,CC,22089,0,0.2035,0,41,3,35578,60,4,Phuket,Y
A100010,2022-06-13,PL,65872,24,0.1032,3311,47,2,67057,81,10,Phuket,
A100011,2022-11-23,PL,119494,48,0.1204,3688,38,1,24575,57,9,Rayong,
A100012,2022-09-16,CC,102682,0,0.0,0,26,1,39444,14,11,Udon Thani,
A100013,2024-03-25,CC,61077,0,0.1495,0,32,2,,46,8,Ubon Ratchathani,
A100014,2023-08-04,PL,258889,48,0.204,9794,46,2,,33,6,Chonburi,
A100015,2023-10-10,PL,118787,24,0.2785,7706,21,1,23414,137,4,Bangkok,
A100016,2022-12-14,HP,184476,36,0.2254,8589,25,1,64046,71,2,Chiang Mai,
A100017,2022-09-09,HP,394726,60,0.2008,13183,63,1,24187,57,7,Phuket,
A100018,2024-06-01,PL,282146,36,0.1889,12278,27,1,30455,88,19,Songkhla,Y
A100019,2022-03-04,HP,416056,72,0.1082,9529,35,3,36057,79,0,Ubon Ratchathani,
A100020,2024-08-29,HP,179490,60,0.2355,6513,20,1,55012,90,7,Rayong,Y
A100021,2023-11-22,CC,36885,0,0.1911,0,58,1,16915,14,4,Chonburi,
A100022,2023-06-11,CC,46786,0,0.1431,0,20,1,18152,15,9,Nonthaburi,
A100023,2024-08-12,PL,272738,36,0.1172,10239,34,1,24144,52,11,Ubon Ratchathani,N
A100024,2023-09-07,CC,52380,0,0.2188,0,28,3,60018,124,16,Rayong,
A100025,2023-09-24,PL,38369,48,0.0994,1117,35,1,,73,23,Phuket,
A100026,2024-03-26,PL,80486,48,0.1477,2667,33,2,,95,2,Nakhon Ratchasima,
A100027,2025-12-18,HP,219269,72,0.1652,6064,42,1,23313,34,999,Udon Thani,Y
A100028,2023-08-11,PL,179143,48,0.2181,6988,45,2,,28,8,Samut Prakan,
