account_id,bureau_pull_date,bureau_score,active_facilities,total_outstanding,worst_status_12m,enquiries_6m
A100000,2024-12-14,766,4,101966,0,0
A100001,2023-05-31,831,1,190933,0,1
A100002,2022-06-30,850,1,168790,3,0
A100003,2024-10-30,850,0,214030,1,0
A100004,2022-09-27,850,2,62190,0,0
A100005,2023-11-29,763,3,358583,0,0
A100005,2023-10-29,850,2,251423,0,0
A100006,2023-06-17,840,4,146536,0,0
A100007,2022-11-17,691,0,116302,0,0
A100008,2022-11-17,756,3,135079,2,0
A100009,2025-05-01,640,0,308186,3,0
A100010,2022-06-13,783,3,366027,0,0
A100012,2022-09-15,850,0,448568,2,0
A100014,2023-08-01,671,2,29932,0,1
A100016,2022-12-12,732,4,133429,1,0
A100016,2022-11-13,850,3,1150279,0,0
A100017,2022-09-09,850,1,160647,0,0
A100018,2024-05-31,688,4,381037,0,0
A100019,2022-03-02,732,0,1944977,0,0
A100020,2024-08-28,791,3,568107,0,0
A100021,2023-11-21,740,3,613402,0,0
A100021,2023-10-22,746,4,328198,0,0
A100023,2024-08-12,837,2,76017,2,0
A100024,2023-09-04,850,4,84620,2,0
A100025,2023-09-23,850,4,46176,1,0
A100026,2024-03-23,802,5,105298,1,0
A100027,2025-12-18,782,0,172881,0,0
A100028,2023-08-09,790,3,307820,1,0
A100029,2024-01-02,641,1,194041,0,0
A100030,2024-12-02,850,4,313904,0,0
A100031,2022-02-24,593,1,65889,1,0
A100032,2024-10-14,850,5,333028,0,0
A100033,2022-03-15,661,6,181108,0,0
A100034,2022-11-10,850,5,156718,0,0
A100035,2022-09-19,666,4,115112,0,0
A100036,2023-04-01,537,2,498546,0,1
A100037,2023-01-18,823,1,135516,1,1
A100038,2022-08-03,850,0,210788,0,0
A100039,2023-08-28,691,1,118297,1,0
A100040,2025-02-02,812,2,237696,0,0
A100041,2024-06-18,850,2,156361,0,0
A100043,2025-02-18,846,1,120171,2,0
A100044,2025-06-18,811,0,314393,0,0
A100045,2024-09-06,806,1,257812,1,0
A100045,2024-08-05,850,4,168192,1,0
A100046,2025-04-19,821,2,288873,0,0
A100047,2022-05-22,747,4,944072,0,0
A100047,2022-04-23,820,3,27193,3,0
A100048,2022-10-14,618,0,14743,0,2
A100049,2025-10-23,734,1,48729,0,0
A100050,2024-03-05,629,3,95917,0,0
A100051,2024-01-06,786,0,822876,0,0
A100052,2025-10-03,850,3,807923,0,0
A100053,2022-02-07,800,1,1370238,0,0
A100054,2022-11-27,850,4,11679,0,0
A100055,2023-11-16,848,3,256570,1,0
A100056,2024-01-22,757,5,371814,0,0
A100057,2022-01-05,850,3,50341,1,0
A100058,2022-11-28,850,0,98797,1,0
A100060,2022-02-10,651,3,339686,0,0
A100062,2023-04-25,831,3,92196,0,0
A100063,2024-11-26,757,4,62273,1,0
A100064,2024-03-21,757,1,44757,0,0
A100065,2024-03-17,703,1,130358,1,0
A100066,2025-11-14,830,3,61513,1,0
A100066,2025-10-17,795,2,42756,0,0
A100067,2024-06-03,850,3,315294,0,0
A100069,2025-12-02,850,0,68156,0,0
A100070,2024-07-25,850,3,331484,0,0
A100070,2024-06-26,697,4,299327,0,0
A100071,2024-02-08,790,4,69165,1,0
A100072,2024-08-05,638,1,141977,2,0
A100073,2023-05-18,850,3,1057517,0,0
A100074,2023-02-20,814,3,180746,1,0
A100075,2025-05-04,850,4,135153,0,0
A100076,2025-10-16,842,6,616241,0,0
A100077,2022-12-05,741,2,161728,0,0
A100078,2023-05-26,813,3,111516,0,0
A100079,2024-12-28,725,2,103931,0,0
A100080,2025-02-22,850,3,150264,1,0
A100081,2023-12-09,850,0,169276,0,0
A100082,2022-06-24,707,1,70501,0,0
A100084,2023-11-07,700,2,178936,0,0
A100085,2023-11-08,836,2,105174,0,0
A100086,2022-05-15,626,2,221531,1,0
A100087,2023-04-19,756,2,350184,0,0
A100088,2023-11-18,850,0,316113,0,0
A100089,2024-07-07,690,2,221735,1,0
A100090,2025-06-23,838,1,228822,0,0
A100091,2022-12-19,812,4,1007720,0,0
A100092,2023-01-20,840,2,173904,0,2
A100093,2024-08-08,850,4,144255,0,0
A100094,2024-03-26,546,2,416952,0,0
A100095,2025-11-01,850,6,102954,0,0
A100095,2025-10-02,826,2,274571,1,0
A100096,2022-02-28,832,0,65869,3,0
A100097,2023-04-27,835,1,176260,0,0
A100098,2023-10-07,850,2,159423,3,0
A100099,2023-02-24,721,3,75884,1,0
A100100,2022-05-26,753,2,325284,0,1
A100101,2022-10-21,850,4,72034,0,0
A100102,2025-12-01,611,3,243623,0,0
A100104,2025-06-22,744,4,1245332,0,0
A100105,2024-03-22,760,1,64731,1,0
A100106,2024-05-28,839,4,49165,0,0
A100107,2024-05-01,850,5,39388,0,0
A100108,2024-08-18,850,1,130097,0,0
A100109,2023-05-17,849,1,153759,0,0
A100110,2024-09-16,850,4,186534,0,0
A100111,2024-05-11,674,1,155448,0,0
A100111,2024-04-11,786,2,204204,0,0
A100112,2022-04-29,710,3,39380,0,0
A100113,2024-02-08,769,0,1015255,2,0
A100114,2024-05-18,850,2,182287,2,0
A100114,2024-04-18,819,1,227748,0,0
A100115,2025-07-18,666,3,619308,1,0
A100116,2023-02-22,850,1,196451,2,0
A100117,2023-03-06,749,4,232906,0,0
A100118,2023-11-05,775,0,818167,0,0
A100119,2022-06-14,726,5,115490,2,0
A100121,2022-02-20,727,3,152769,0,0
A100122,2024-05-11,805,0,227671,0,0
A100124,2024-04-08,695,1,138275,1,0
A100125,2022-05-05,850,2,2191436,0,0
A100126,2024-03-28,716,3,287447,2,0
A100127,2025-04-15,850,1,262706,0,0
A100128,2022-08-03,810,1,31259,0,0
A100129,2024-10-09,648,0,108207,1,0
A100130,2024-06-19,844,5,307274,0,0
A100131,2023-06-28,694,2,130581,0,0
A100132,2022-08-10,715,2,271289,0,0
A100132,2022-07-13,644,3,290888,0,0
A100134,2022-12-01,850,1,280706,0,0
A100135,2025-08-04,850,1,116212,0,0
A100136,2022-11-10,649,3,271667,0,0
A100137,2024-08-13,685,2,173762,0,0
A100138,2024-01-26,686,1,227504,0,0
A100139,2024-02-15,699,0,171224,0,0
A100141,2022-10-18,850,1,105595,0,0
A100142,2025-02-25,771,4,352569,1,0
A100143,2025-07-26,834,3,155751,0,0
A100144,2022-01-13,670,0,124118,0,0
A100146,2025-03-20,774,3,86564,0,0
A100148,2023-07-15,676,4,1052276,0,0
A100149,2024-08-25,815,0,402724,1,0
A100150,2025-09-20,850,0,34526,0,0
A100150,2025-08-21,791,2,74230,3,0
A100153,2023-09-22,850,4,366405,0,0
A100154,2025-12-30,727,3,72395,1,0
A100155,2025-12-20,800,0,51132,0,0
A100156,2025-09-07,750,0,231369,0,0
A100156,2025-08-08,709,4,123427,1,0
A100157,2025-10-14,678,1,350629,0,0
A100158,2024-12-30,850,1,61007,0,0
A100159,2024-07-18,719,0,448264,0,0
A100159,2024-06-20,849,3,289149,0,0
A100160,2024-01-14,799,2,96129,0,0
A100161,2024-04-14,747,2,2064603,0,0
A100162,2022-03-29,643,1,82044,0,3
A100163,2024-01-26,644,0,370010,0,0
A100164,2022-10-23,680,2,64179,1,0
A100165,2022-12-31,629,5,129560,0,0
A100166,2022-11-25,749,3,127150,0,0
A100167,2022-04-20,758,2,359798,0,0
A100168,2023-02-12,792,2,47617,1,0
A100169,2025-12-24,671,3,370708,0,0
A100170,2022-03-28,850,1,311427,0,0
A100171,2023-12-08,696,2,150958,0,0
