table,field,type,description
cs1_applications,account_id,Text,Unique account identifier
cs1_applications,application_date,Date,Date the application was submitted
cs1_applications,product_code,Text,"PL personal loan, HP hire purchase, CC credit card"
cs1_applications,loan_amount,Number,"Amount requested, in thousands of baht"
cs1_applications,term_months,Number,"Contractual term in months, 0 for revolving products"
cs1_applications,interest_rate,Number,Annual contractual rate as a decimal
cs1_applications,instalment,Number,Scheduled monthly instalment in baht
cs1_applications,customer_age,Number,Age at application in years
cs1_applications,employment_status,Number,"1 salaried, 2 self-employed, 3 contract"
cs1_applications,monthly_income,Number,Declared monthly income in baht
cs1_applications,months_at_address,Number,Months at current residential address
cs1_applications,months_since_last_enquiry,Number,Months since the most recent bureau enquiry. 999 where no enquiry is on record
cs1_applications,province,Text,Province of residence
cs1_applications,income_verified,Text,Y or N. Introduced April 2024; blank on earlier applications
cs1_bureau,account_id,Text,Links to applications
cs1_bureau,bureau_pull_date,Date,Date the bureau file was retrieved
cs1_bureau,bureau_score,Number,"Bureau score, 300 to 850, higher is better"
cs1_bureau,active_facilities,Number,Count of active credit facilities elsewhere
cs1_bureau,total_outstanding,Number,Total balance across other lenders in baht
cs1_bureau,worst_status_12m,Number,"Worst arrears bucket in the last 12 months, 0 to 3"
cs1_bureau,enquiries_6m,Number,Bureau enquiries in the six months before application
cs1_repayments,account_id,Text,Links to applications
cs1_repayments,statement_month,Date,Statement month end
cs1_repayments,months_on_book,Number,Months since account opening
cs1_repayments,days_past_due,Number,Days past due at that statement month
cs1_repayments,balance,Number,Outstanding balance in baht
cs1_repayments,collections_contact_flag,Number,1 where the collections team contacted the customer that month
