account_id,statement_month,months_on_book,days_past_due,balance,collections_contact_flag
A100000,2025-01-28,1,0,63808,0
A100000,2025-02-28,2,0,61034,0
A100000,2025-03-28,3,0,58260,0
A100000,2025-04-28,4,30,55485,1
A100000,2025-05-28,5,30,52711,1
A100000,2025-06-28,6,30,49937,1
A100000,2025-07-28,7,30,47162,1
A100000,2025-08-28,8,30,44388,1
A100000,2025-09-28,9,30,41614,1
A100000,2025-10-28,10,30,38840,1
A100000,2025-11-28,11,30,36065,0
A100000,2025-12-28,12,30,33291,1
A100000,2026-01-28,13,30,30517,1
A100000,2026-02-28,14,30,27742,1
A100000,2026-03-28,15,30,24968,1
A100001,2023-06-28,1,0,68491,0
A100001,2023-07-28,2,0,65513,0
A100001,2023-08-28,3,0,62535,0
A100001,2023-09-28,4,0,59557,0
A100001,2023-10-28,5,0,56579,0
A100001,2023-11-28,6,0,53601,0
A100001,2023-12-28,7,0,50623,0
A100001,2024-01-28,8,0,47646,0
A100001,2024-02-28,9,0,44668,0
A100001,2024-03-28,10,0,41690,0
A100001,2024-04-28,11,0,38712,0
A100001,2024-05-28,12,30,35734,1
A100001,2024-06-28,13,0,32756,0
A100001,2024-07-28,14,0,29778,0
A100001,2024-08-28,15,0,26800,0
A100001,2024-09-28,16,0,23823,0
A100001,2024-10-28,17,0,20845,0
A100001,2024-11-28,18,0,17867,0
A100001,2024-12-28,19,0,14889,0
A100001,2025-01-28,20,0,11911,0
A100001,2025-02-28,21,0,8933,0
A100001,2025-03-28,22,0,5955,0
A100001,2025-04-28,23,0,2977,0
A100001,2025-05-28,24,0,0,0
A100002,2022-08-28,1,0,25784,0
A100002,2022-09-28,2,0,24663,0
A100002,2022-10-28,3,0,23542,0
A100002,2022-11-28,4,0,22421,0
A100002,2022-12-28,5,0,21300,0
A100002,2023-01-28,6,0,20179,0
A100002,2023-02-28,7,0,19058,0
A100002,2023-03-28,8,0,17937,0
A100002,2023-04-28,9,0,16816,0
A100002,2023-05-28,10,0,15695,0
A100002,2023-06-28,11,0,14574,0
A100002,2023-07-28,12,0,13453,0
A100002,2023-08-28,13,0,12331,0
A100002,2023-09-28,14,0,11210,0
A100002,2023-10-28,15,0,10089,0
A100002,2023-11-28,16,0,8968,0
A100002,2023-12-28,17,0,7847,0
A100002,2024-01-28,18,0,6726,0
A100002,2024-02-28,19,0,5605,0
A100002,2024-03-28,20,0,4484,0
A100002,2024-04-28,21,0,3363,1
A100002,2024-05-28,22,0,2242,0
A100002,2024-06-28,23,0,1121,0
A100002,2024-07-28,24,0,0,0
A100003,2024-12-28,1,0,155214,0
A100003,2025-01-28,2,0,151912,0
A100003,2025-02-28,3,0,148609,0
A100003,2025-03-28,4,0,145307,0
A100003,2025-04-28,5,0,142004,0
A100003,2025-05-28,6,0,138702,0
A100003,2025-06-28,7,0,135399,0
A100003,2025-07-28,8,0,132097,0
A100003,2025-08-28,9,0,128795,0
A100003,2025-09-28,10,0,125492,0
A100003,2025-10-28,11,0,122190,0
A100003,2025-11-28,12,0,118887,0
A100003,2025-12-28,13,0,115585,0
A100003,2026-01-28,14,30,112282,1
A100003,2026-02-28,15,0,108980,0
A100003,2026-03-28,16,0,105678,0
A100004,2022-10-28,1,0,261920,0
A100004,2022-11-28,2,0,257481,0
A100004,2022-12-28,3,0,253042,0
A100004,2023-01-28,4,0,248602,0
A100004,2023-02-28,5,0,244163,0
A100004,2023-03-28,6,0,239724,0
A100004,2023-04-28,7,0,235284,1
A100004,2023-05-28,8,0,230845,0
A100004,2023-06-28,9,0,226406,0
A100004,2023-07-28,10,0,221966,0
A100004,2023-08-28,11,0,217527,0
A100004,2023-09-28,12,0,213088,0
A100004,2023-10-28,13,0,208648,0
A100004,2023-11-28,14,0,204209,0
A100004,2023-12-28,15,0,199770,0
A100004,2024-01-28,16,0,195330,0
A100004,2024-02-28,17,0,190891,0
A100004,2024-03-28,18,0,186452,0
A100004,2024-04-28,19,0,182012,0
A100004,2024-05-28,20,0,177573,0
A100004,2024-06-28,21,0,173134,0
A100004,2024-07-28,22,0,168694,0
A100004,2024-08-28,23,0,164255,1
A100004,2024-09-28,24,0,159816,0
A100005,2023-12-28,1,0,293339,0
A100005,2024-01-28,2,0,289207,0
A100005,2024-02-28,3,0,285076,0
A100005,2024-03-28,4,0,280944,0
A100005,2024-04-28,5,0,276813,0
A100005,2024-05-28,6,0,272681,0
A100005,2024-06-28,7,0,268550,0
A100005,2024-07-28,8,0,264418,0
A100005,2024-08-28,9,0,260287,0
A100005,2024-09-28,10,0,256155,0
A100005,2024-10-28,11,0,252024,0
A100005,2024-11-28,12,30,247892,1
A100005,2024-12-28,13,0,243760,0
A100005,2025-01-28,14,0,239629,0
A100005,2025-02-28,15,0,235497,0
A100005,2025-03-28,16,0,231366,0
A100005,2025-04-28,17,0,227234,1
A100005,2025-05-28,18,0,223103,0
A100005,2025-06-28,19,0,218971,0
A100005,2025-07-28,20,0,214840,0
A100005,2025-08-28,21,0,210708,0
A100005,2025-09-28,22,0,206577,0
A100005,2025-10-28,23,0,202445,0
A100005,2025-11-28,24,0,198314,0
A100006,2023-07-28,1,0,166329,0
A100006,2023-08-28,2,0,163986,0
A100006,2023-09-28,3,0,161644,0
A100006,2023-10-28,4,0,159301,0
A100006,2023-11-28,5,0,156958,0
A100006,2023-12-28,6,0,154616,0
A100006,2024-01-28,7,0,152273,0
A100006,2024-02-28,8,0,149930,0
A100006,2024-03-28,9,0,147588,1
A100006,2024-04-28,10,15,145245,0
A100006,2024-05-28,11,0,142902,0
A100006,2024-06-28,12,0,140560,0
A100006,2024-07-28,13,0,138217,0
A100006,2024-08-28,14,0,135874,0
A100006,2024-09-28,15,0,133532,0
A100006,2024-10-28,16,0,131189,0
A100006,2024-11-28,17,0,128846,0
A100006,2024-12-28,18,0,126504,0
A100006,2025-01-28,19,0,124161,1
A100006,2025-02-28,20,0,121818,0
A100006,2025-03-28,21,0,119475,0
A100006,2025-04-28,22,0,117133,0
A100006,2025-05-28,23,0,114790,0
A100006,2025-06-28,24,0,112448,0
A100007,2022-12-28,1,0,279538,0
A100007,2023-01-28,2,0,274800,0
A100007,2023-02-28,3,0,270062,0
A100007,2023-03-28,4,0,265324,0
A100007,2023-04-28,5,0,260586,0
A100007,2023-05-28,6,0,255848,0
A100007,2023-06-28,7,0,251110,0
A100007,2023-07-28,8,0,246372,0
A100007,2023-08-28,9,0,241634,1
A100007,2023-09-28,10,0,236896,0
A100007,2023-10-28,11,0,232158,0
A100007,2023-11-28,12,0,227420,0
A100007,2023-12-28,13,0,222682,0
A100007,2024-01-28,14,30,217944,0
A100007,2024-02-28,15,0,213207,0
A100007,2024-03-28,16,0,208469,0
A100007,2024-04-28,17,0,203731,0
A100007,2024-05-28,18,0,198993,0
A100007,2024-06-28,19,0,194255,0
A100007,2024-07-28,20,0,189517,0
A100007,2024-08-28,21,0,184779,1
A100007,2024-09-28,22,0,180041,0
A100007,2024-10-28,23,0,175303,0
A100007,2024-11-28,24,0,170565,0
A100008,2022-12-28,1,0,151794,0
A100008,2023-01-28,2,0,147457,0
A100008,2023-02-28,3,0,143120,0
A100008,2023-03-28,4,0,138783,0
A100008,2023-04-28,5,0,134446,0
A100008,2023-05-28,6,30,130109,1
A100008,2023-06-28,7,0,125772,0
A100008,2023-07-28,8,0,121435,0
A100008,2023-08-28,9,0,117098,0
A100008,2023-09-28,10,0,112761,0
A100008,2023-10-28,11,0,108424,1
A100008,2023-11-28,12,0,104087,0
A100008,2023-12-28,13,0,99750,0
A100008,2024-01-28,14,0,95413,0
A100008,2024-02-28,15,0,91076,0
A100008,2024-03-28,16,0,86739,0
A100008,2024-04-28,17,0,82402,0
A100008,2024-05-28,18,0,78065,0
A100008,2024-06-28,19,0,73728,0
A100008,2024-07-28,20,0,69391,0
