account_id,bureau_score,enquiries_6m,other_lenders
TH-103172,652,0,1
TH-102757,592,1,1
TH-104773,724,1,4
TH-102653,534,2,1
TH-101395,611,3,2
TH-103514,703,1,1
TH-102569,614,3,1
TH-103671,615,2,1
TH-104400,648,0,0
TH-103305,593,0,4
TH-104817,516,0,3
TH-102132,733,2,4
TH-104193,556,0,3
TH-100565,534,0,1
TH-100505,707,2,0
TH-100210,694,0,2
TH-103445,612,2,2
TH-104136,584,1,3
TH-102709,649,0,1
TH-101410,744,2,3
TH-104528,638,0,0
TH-104663,424,2,1
TH-100646,606,1,1
TH-102432,442,2,5
TH-104459,684,0,3
TH-102251,683,0,2
TH-102187,565,1,1
TH-104306,670,2,2
TH-103842,759,1,3
TH-102674,584,1,2
TH-104182,602,3,4
TH-101386,624,3,5
TH-102138,618,0,2
TH-101841,609,0,0
TH-103295,628,1,4
TH-100482,652,2,1
TH-100530,714,1,3
TH-103111,568,2,3
TH-102259,514,1,3
TH-104520,542,0,1
TH-100200,649,0,1
TH-104059,560,0,5
TH-102555,638,2,1
TH-100633,619,1,4
TH-104477,643,1,6
TH-101045,741,0,2
TH-101254,651,0,1
TH-104407,686,0,2
TH-102642,582,3,4
TH-101077,576,1,1
TH-100143,621,0,1
TH-103006,663,1,0
TH-104229,831,1,3
TH-102993,465,0,5
TH-104345,638,1,2
TH-102897,709,2,3
TH-102651,608,1,3
TH-100023,664,0,1
TH-101894,647,2,1
TH-100876,459,3,1
TH-101263,453,2,2
TH-104842,682,0,1
TH-100798,638,1,0
TH-102507,578,0,3
TH-101428,661,1,1
TH-100684,700,2,2
TH-100274,562,2,2
TH-104966,544,1,0
TH-100895,627,0,1
TH-100705,524,0,3
TH-100278,711,3,3
TH-104774,612,2,4
TH-104986,608,0,2
TH-100058,605,0,4
TH-101023,561,0,2
TH-103451,627,1,1
TH-104226,565,2,2
TH-100957,734,1,2
TH-100903,625,0,1
TH-101940,542,2,0
TH-104602,540,2,2
TH-100943,643,3,0
TH-103858,597,1,2
TH-103990,588,4,1
TH-102685,587,0,3
TH-101550,537,1,6
TH-102550,676,0,3
TH-102980,610,2,1
TH-102158,612,2,0
TH-104406,610,1,1
TH-103237,544,1,6
TH-101110,637,1,4
TH-100491,636,1,5
TH-103083,793,0,2
TH-101708,741,2,4
TH-100679,538,0,1
TH-101355,465,0,3
TH-103771,669,5,3
TH-101044,606,2,0
TH-101358,502,0,2
TH-101350,590,2,0
TH-102708,577,4,1
TH-100880,639,1,3
TH-104931,617,1,6
TH-103054,680,1,3
TH-103744,665,1,1
TH-100102,469,4,0
TH-101584,608,0,2
TH-102350,741,1,3
TH-102297,529,0,3
TH-103382,641,2,2
TH-104732,680,2,1
TH-104621,506,0,2
TH-100548,647,0,1
TH-101719,587,1,1
TH-101287,614,3,3
TH-100696,584,0,1
TH-101082,723,3,3
TH-100180,668,0,1
TH-100975,703,4,1
TH-101700,585,0,3
TH-101992,608,3,2
TH-102228,530,0,4
TH-101207,536,0,1
TH-101191,550,1,1
TH-104502,754,2,1
TH-104468,478,2,0
TH-102770,598,1,0
TH-100046,627,2,2
TH-104904,555,1,3
TH-103535,591,2,0
TH-103569,570,3,0
TH-103628,682,1,4
TH-103602,552,1,0
TH-103787,504,1,2
TH-102815,719,3,0
TH-103239,669,0,3
TH-101415,587,0,5
TH-100435,672,0,3
TH-103291,544,0,2
TH-102324,555,1,3
TH-100968,629,1,2
TH-103071,677,1,1
TH-104938,644,0,3
TH-104617,621,1,0
TH-103732,525,1,2
TH-102545,683,2,1
TH-103115,666,1,1
TH-103661,612,0,0
TH-104001,516,2,2
TH-104996,557,1,2
TH-100389,762,1,6
TH-103669,779,1,1
TH-102915,556,2,1
TH-102141,672,2,4
TH-104203,580,1,4
TH-103623,610,1,4
TH-102066,559,1,5
TH-101778,587,3,1
TH-103242,649,1,1
TH-103424,704,2,3
TH-102824,601,3,2
TH-102796,719,2,0
TH-103223,695,1,6
TH-101844,655,2,0
TH-101969,580,2,5
TH-102231,580,1,0
TH-103889,627,2,1
TH-102284,606,2,2
TH-100233,512,1,2
TH-104816,545,1,1
TH-104461,675,3,1
TH-104144,608,1,1
TH-101466,628,1,1
TH-102593,722,1,2
TH-102443,508,2,3
TH-104364,546,2,3
TH-103157,613,2,0
TH-100553,600,2,0
TH-103654,521,1,3
TH-102711,626,0,4
TH-100057,566,1,2
TH-102693,654,2,1
TH-103515,541,2,4
TH-103114,659,0,2
TH-101377,692,2,1
TH-101984,731,3,1
TH-104799,598,0,0
TH-100125,653,1,1
TH-100120,637,1,1
TH-101953,510,2,2
TH-101559,502,4,1
TH-104021,736,0,1
TH-100750,544,2,2
TH-100110,628,3,0
TH-103093,601,0,3
TH-101745,585,1,0
TH-102812,618,1,4
TH-103978,606,1,2
TH-102617,651,0,1
TH-102032,712,1,1
TH-103780,812,2,1
TH-101749,614,3,0
TH-104792,667,3,1
TH-103330,548,2,2
TH-104160,650,1,7
TH-102523,649,1,0
TH-101705,544,1,3
TH-104168,507,3,5
TH-102672,699,2,1
TH-104037,587,2,3
TH-102065,627,0,2
TH-102362,715,2,1
TH-102514,516,1,0
TH-103673,619,1,1
TH-101654,565,4,1
TH-103189,645,3,3
TH-103683,538,2,1
TH-101681,620,0,1
TH-103079,652,3,2
TH-104641,543,2,2
TH-104252,599,2,1
TH-104466,500,0,1
TH-101909,574,2,0
TH-101031,654,1,1
TH-100972,525,2,2
