account_id,origination_date,product,region,customer_age,age_band,monthly_income,loan_amount,outstanding_balance_thb,days_past_due,bad_flag
TH-100001,27/01/2024,motorcycle,Central,31,25 to 34,,28000,"15,000",0,0
TH-100002,20/12/2023,home_improvement,Central,21,Under 25,12000,28000,"15,800",0,0
TH-100003,16/05/2025,auto,Bangkok,26,25 to 34,48600,102000,"27,600",0,0
TH-100004,11/02/2024,motorcycle,Northeast,42,35 to 44,11300,22000,"20,300",0,0
TH-100005,11/11/2024,personal,Central,57,55 and over,15800,46000,"30,600",0,0
TH-100006,08/09/2024,auto,Bangkok,51,45 to 54,15500,50000,"25,100",0,0
TH-100007,07/05/2025,title_loan,Bangkok,37,35 to 44,26000,90000,"70,000",0,0
TH-100008,11/11/2024,motorcycle,Bangkok,48,45 to 54,27200,74000,"40,400",0,0
TH-100009,31/05/2024,auto,Central,44,35 to 44,11700,31000,"23,000",0,0
TH-100010,28/08/2024,personal,Central,43,35 to 44,31800,63000,"48,700",0,0
TH-100011,22/10/2023,auto,North,22,Under 25,,19000,"10,400",0,0
TH-100012,27/12/2023,motorcycle,South,51,45 to 54,14100,80000,"23,200",0,0
TH-100013,29/03/2025,personal,Bangkok,31,25 to 34,9200,32000,"29,800",87,1
TH-100014,16/04/2024,auto,Bangkok,46,45 to 54,,21000,"11,600",0,0
TH-100015,17/08/2023,motorcycle,Central,51,45 to 54,41800,111000,"41,400",0,0
TH-100016,16/06/2024,auto,Bangkok,32,25 to 34,10900,49000,"29,600",0,0
TH-100017,08/12/2024,home_improvement,Central,42,35 to 44,48300,105000,"58,800",0,0
TH-100018,13/04/2024,auto,Bangkok,42,35 to 44,30400,86000,"61,000",0,0
TH-100019,10/12/2024,personal,North,40,35 to 44,30300,62000,"43,000",0,0
TH-100020,25/05/2024,title_loan,Central,51,45 to 54,21800,54000,"14,200",33,1
TH-100021,15/03/2025,personal,Northeast,28,25 to 34,40300,117000,"52,800",0,0
TH-100022,27/06/2023,personal,Northeast,28,25 to 34,12700,18000,"8,200",0,0
TH-100023,09/01/2023,auto,Bangkok,48,45 to 54,19900,58000,"51,200",0,0
TH-100024,12/07/2024,title_loan,Northeast,35,35 to 44,26700,53000,"41,300",0,0
TH-100025,09/03/2023,title_loan,South,36,35 to 44,12100,51000,"40,700",0,0
TH-100026,15/05/2025,personal,Bangkok,53,45 to 54,27300,155000,"102,300",0,0
TH-100027,20/12/2024,personal,Northeast,22,Under 25,23500,47000,"33,900",0,0
TH-100028,30/08/2024,motorcycle,Bangkok,42,35 to 44,20300,68000,"38,700",0,0
TH-100029,15/09/2023,home_improvement,North,21,Under 25,23900,45000,"30,000",0,0
TH-100030,17/05/2023,motorcycle,Bangkok,24,Under 25,15100,79000,"39,900",0,0
TH-100031,26/10/2024,auto,Northeast,45,45 to 54,10200,26000,"11,100",0,0
TH-100032,11/02/2023,auto,Bangkok,38,35 to 44,49400,46000,"36,000",0,0
TH-100033,22/11/2024,motorcycle,North,36,35 to 44,17100,35000,"21,100",0,0
TH-100034,17/05/2023,motorcycle,North,48,45 to 54,29300,140000,"60,400",74,1
TH-100035,31/08/2024,motorcycle,Northeast,27,25 to 34,25100,51000,"38,200",0,0
TH-100036,25/12/2023,title_loan,Central,38,35 to 44,14100,97000,"71,000",149,1
TH-100037,24/12/2024,personal,South,23,Under 25,30700,96000,"81,500",0,0
TH-100038,28/02/2023,motorcycle,Central,24,Under 25,13300,37000,"27,100",0,0
TH-100039,14/01/2024,auto,South,53,45 to 54,27700,63000,"54,100",0,0
TH-100040,31/05/2023,personal,North,50,45 to 54,28400,138000,"21,300",0,0
TH-100041,30/09/2024,auto,Northeast,31,25 to 34,26400,38000,"13,400",0,0
TH-100042,27/05/2025,auto,Bangkok,45,45 to 54,14800,55000,"24,800",0,0
TH-100043,25/04/2024,home_improvement,Bangkok,31,25 to 34,15600,114000,"50,700",31,1
TH-100044,08/06/2023,auto,Bangkok,23,Under 25,14000,17000,"9,800",0,0
TH-100045,03/08/2023,home_improvement,Central,22,Under 25,28700,92000,"49,000",8,0
TH-100046,23/01/2023,motorcycle,Central,29,25 to 34,47200,68000,"48,900",0,0
TH-100047,10/02/2025,title_loan,Central,27,25 to 34,18500,22000,"12,200",0,0
TH-100048,01/05/2024,auto,Bangkok,29,25 to 34,16500,17000,"12,000",5,0
TH-100049,27/09/2024,personal,Bangkok,44,35 to 44,44000,197000,"120,900",0,0
TH-100050,04/06/2024,motorcycle,Central,32,25 to 34,15900,68000,"49,900",157,1
TH-100051,04/03/2023,auto,Bangkok,53,45 to 54,,111000,"53,900",80,1
TH-100052,14/10/2023,personal,Northeast,26,25 to 34,9000,32000,"22,400",0,0
TH-100053,19/03/2023,motorcycle,North,28,25 to 34,35800,132000,"34,000",0,0
TH-100054,12/10/2023,personal,Northeast,42,35 to 44,34000,172000,"82,200",0,0
TH-100055,24/05/2024,title_loan,South,26,25 to 34,24000,202000,"176,200",0,0
TH-100056,11/04/2023,auto,North,41,35 to 44,,128000,"75,000",46,1
TH-100057,02/02/2023,home_improvement,Central,37,35 to 44,22000,74000,"30,000",0,0
TH-100058,12/01/2023,auto,Central,21,Under 25,9700,25000,"13,300",0,0
TH-100059,10/07/2024,auto,Northeast,29,25 to 34,31600,69000,"32,500",0,0
TH-100060,26/04/2023,auto,Central,39,35 to 44,28200,28000,,0,0
TH-100061,13/03/2023,personal,Northeast,36,35 to 44,15300,48000,"39,400",0,0
TH-100062,30/10/2023,motorcycle,Bangkok,39,35 to 44,32600,46000,"36,100",152,1
TH-100063,14/05/2024,auto,Northeast,40,35 to 44,15700,33000,"13,200",0,0
TH-100064,30/10/2023,personal,North,32,25 to 34,28800,65000,"27,400",17,0
TH-100065,12/06/2025,auto,North,33,25 to 34,20900,75000,"67,400",0,0
TH-100066,02/07/2024,home_improvement,Central,34,25 to 34,25700,76000,"50,300",168,1
TH-100067,14/06/2025,personal,North,45,45 to 54,15800,52000,"37,900",0,0
TH-100068,03/05/2024,motorcycle,Bangkok,42,35 to 44,,24000,"15,900",0,0
TH-100069,01/02/2025,home_improvement,Central,21,Under 25,29000,76000,"13,100",0,0
TH-100070,17/03/2024,auto,South,39,35 to 44,14700,29000,"16,600",0,0
TH-100071,27/02/2025,motorcycle,Bangkok,39,35 to 44,14200,49000,"5,200",0,0
TH-100072,27/08/2023,title_loan,North,38,35 to 44,16600,81000,"60,800",0,0
TH-100073,11/04/2024,title_loan,North,41,35 to 44,12000,29000,"24,800",0,0
TH-100074,28/06/2024,home_improvement,Central,40,35 to 44,23400,52000,"35,900",0,0
TH-100075,14/02/2023,personal,North,31,25 to 34,19600,20000,"5,800",13,0
TH-100076,05/07/2023,home_improvement,Bangkok,43,35 to 44,,58000,"24,600",0,0
TH-100077,02/06/2023,auto,Bangkok,28,25 to 34,27800,52000,"38,300",0,0
TH-100078,01/11/2024,auto,Bangkok,36,35 to 44,10700,48000,"37,300",0,0
TH-100079,11/04/2024,motorcycle,Central,40,35 to 44,37100,99000,"70,900",0,0
TH-100080,27/01/2024,personal,Bangkok,44,35 to 44,24900,62000,"42,000",0,0
TH-100081,19/03/2023,personal,Northeast,26,25 to 34,19100,39000,"29,800",0,0
TH-100082,18/02/2023,title_loan,South,31,25 to 34,29100,59000,"42,300",0,0
TH-100083,02/02/2024,auto,Bangkok,35,35 to 44,9000,26000,"21,500",0,0
TH-100084,09/06/2024,title_loan,Northeast,34,25 to 34,14800,33000,"15,100",0,0
TH-100085,10/05/2024,home_improvement,Northeast,44,35 to 44,32400,49000,"26,100",0,0
TH-100086,16/02/2023,auto,Bangkok,26,25 to 34,34300,166000,"139,100",176,1
TH-100087,18/12/2024,title_loan,North,31,25 to 34,12300,21000,"16,400",43,1
TH-100088,29/03/2024,motorcycle,Bangkok,25,25 to 34,9000,32000,"7,300",0,0
TH-100089,11/06/2023,motorcycle,Bangkok,21,Under 25,25900,78000,"63,800",0,0
TH-100090,26/04/2024,personal,Bangkok,30,25 to 34,25400,38000,"33,500",0,0
TH-100091,03/05/2023,auto,Northeast,28,25 to 34,9000,31000,"11,300",0,0
TH-100092,19/12/2024,personal,North,36,35 to 44,59700,157000,"101,300",0,0
TH-100093,26/03/2025,personal,North,33,25 to 34,21600,87000,"58,300",0,0
TH-100094,05/11/2024,personal,Central,32,25 to 34,33000,126000,"53,600",0,0
TH-100095,27/03/2024,personal,Bangkok,49,45 to 54,20400,18000,"13,100",0,0
